NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG
JOSH OKOGIE,2021,23.609999999999996,49,Min,G,10.5,2.7,1.4,0.5,0.53,0.24,0.47,6.97
JOSH OKOGIE,2022,24.6,72,Pho,G,18.8,7.300000000000001,3.5,1.5,0.8,0.5,0.8999999999999999,14.949999999999998
JOSH OKOGIE,2023,25.6,60,Pho,F,16.0,4.6,2.6,1.1,0.8,0.4,0.6,12.37
JOSH OKOGIE,2024,26.6,40,Pho,G,15.6125,7.0875,2.825,0.8625,1.175,0.4375,0.75,15.85875
JOSH RICHARDSON,2020,27.67,59,Dal,G,30.3,12.1,3.3,2.6,1.03,0.41,1.34,22.94
JOSH RICHARDSON,2021,28.57,65,Bos,G,24.60307692307692,10.249230769230769,2.832307692307692,1.7584615384615385,0.8604615384615386,0.4456923076923077,1.0192307692307692,19.184923076923077
JOSH RICHARDSON,2022,29.6,65,San,G,23.523076923076925,10.084615384615384,2.658461538461538,2.6984615384615385,1.1061538461538463,0.3353846153846154,1.323076923076923,19.124
JOSH RICHARDSON,2023,30.599999999999998,43,Mia,G,25.599999999999998,9.9,2.8,2.4,0.6,0.3,0.7999999999999999,18.759999999999998
JOSH RICHARDSON,2024,31.6,8,Mia,G,18.7,4.0,1.5,1.5,1.0,0.1,1.0,10.350000000000001
JOSHUA PRIMO,2021,19.3,50,San,G,19.3,5.8,2.3,1.6,0.4,0.46,1.12,12.420000000000002
JOSHUA PRIMO,2022,20.3,4,San,G,23.4,7.0,3.3,4.5,0.3,0.5,2.8,18.51
JOSHUA PRIMO,2023,21.3,2,Lac,G,5.2,1.0,0.5,0.0,0.0,0.5,2.0,1.1
JRUE HOLIDAY,2020,30.93,59,Mil,G,32.3,17.7,4.5,6.1,1.64,0.63,2.15,36.910000000000004
JRUE HOLIDAY,2021,31.829999999999995,67,Mil,G,32.9,18.3,4.5,6.8,1.6,0.43,2.73,37.260000000000005
JRUE HOLIDAY,2022,32.8,67,Mil,G,32.6,19.3,5.1,7.4,1.2,0.4,2.9,37.220000000000006
JRUE HOLIDAY,2023,33.8,69,Bos,G,32.8,12.5,5.4,4.8,0.9,0.8,1.8,29.48
JRUE HOLIDAY,2024,34.8,62,Bos,G,30.6,11.1,4.3,3.9,1.1,0.4,1.2,25.41
JT THOR,2021,19.63,33,Cha,F,7.8999999999999995,2.0,1.3,0.6,0.24,0.33,0.3,5.87
JT THOR,2022,20.6,69,Cha,F,14.0,3.8,2.2,0.5,0.3,0.3,0.6,8.99
JT THOR,2023,21.6,63,Cha,F,12.4,3.2,2.3,0.5,0.2,0.4,0.2,8.310000000000004
JT THOR,2024,22.6,20,Was,F,12.455000000000002,3.54,2.405,0.32,0.365,0.41,0.48,8.751
JUAN TOSCANO-ANDERSON,2020,28.100000000000005,53,Gol,F,20.899999999999995,5.7,4.4,2.7999999999999994,0.77,0.49,1.17,17.79
JUAN TOSCANO-ANDERSON,2021,29.0,73,Gol,F,13.6,4.1,2.4,1.7,0.66,0.22999999999999998,0.93,11.27
JUAN TOSCANO-ANDERSON,2022,30.0,52,Lal,F,13.46923076923077,2.996153846153846,2.3807692307692307,1.2230769230769232,0.3,0.1576923076923077,0.6846153846153846,8.84923076923077
JUAN TOSCANO-ANDERSON,2023,31.0,11,Sac,F,4.8,0.6,1.3,0.4,0.1,0.1,0.2,3.1600000000000006
JUANCHO HERNANGOMEZ,2020,25.63,52,Min,F,17.3,7.200000000000001,3.8999999999999995,0.7,0.37,0.13,0.52,13.91
JUANCHO HERNANGOMEZ,2021,26.54,40,Bos,F,11.084999999999999,3.3050000000000006,2.4925,0.5050000000000001,0.34924999999999995,0.24874999999999997,0.39825,8.44925
JUANCHO HERNANGOMEZ,2022,27.5,42,Tor,F,14.599999999999998,2.9,2.9,0.6,0.4,0.1,0.4,7.4799999999999995
JULES BERNARD,2023,24.2,19,Was,G,7.8999999999999995,3.9,1.4,0.8,0.2,0.1,0.4,7.279999999999999
JULIAN CHAMPAGNIE,2022,21.8,17,San,F,18.75294117647059,9.705882352941176,3.5294117647058822,0.6176470588235294,0.3235294117647059,0.2647058823529412,0.6176470588235294,17.991176470588236
JULIAN CHAMPAGNIE,2023,22.8,74,San,F,19.8,6.8,2.8,1.4,0.6,0.6,0.8,15.059999999999997
JULIAN CHAMPAGNIE,2024,23.8,82,San,F,23.6,9.9,3.9000000000000004,1.4,0.7,0.4000000000000001,0.8999999999999999,19.080000000000002
JULIAN PHILLIPS,2023,20.4,40,Chi,F,8.1,2.2,0.9,0.3,0.2,0.2,0.3,4.63
