NAME,SEASON,AGE,GP,TEAM,POS,MpG,PpG,RpG,ApG,SpG,BpG,TOpG,FPpG,FPpG_next,GP_next,FP_total,FP_total_next
ALONDES WILLIAMS,2023,24.8,7,Mia,G,2.2,0.7,0.1,0.0,0.0,0.1,0.3,0.8200000000000001,6.5,1.0,5.74,6.5
ALPEREN SENGUN,2021,19.71,72,Hou,C,20.7,9.6,5.5,2.6,0.81,0.94,2.01,23.340000000000003,34.25000000000001,75.0,1680.4800000000002,2568.7500000000005
ALPEREN SENGUN,2022,20.7,75,Hou,C,28.9,14.8,9.0,3.9,0.9,0.9,2.6,34.25000000000001,42.980000000000004,63.0,2568.7500000000005,2707.7400000000002
ALPEREN SENGUN,2023,21.7,63,Hou,C,32.5,21.1,9.4,5.0,1.2,0.7,2.6,42.980000000000004,42.029999999999994,76.0,2707.7400000000002,3194.2799999999997
AMEN THOMPSON,2023,21.2,62,Hou,G-F,22.4,9.5,6.6,2.6,1.3,0.6,1.5,25.52,35.739999999999995,69.0,1582.24,2466.0599999999995
AMIR COFFEY,2020,23.92,44,Lac,G-F,9.0,3.2,1.0,0.5,0.23,0.0,0.34,5.500000000000001,16.84,69.0,242.00000000000003,1161.96
AMIR COFFEY,2021,24.82,69,Lac,G-F,22.7,9.0,2.9,1.8,0.55,0.22,0.65,16.84,6.5699999999999985,50.0,1161.96,328.49999999999994
AMIR COFFEY,2022,25.8,50,Lac,G-F,12.5,3.4,1.1,1.1,0.1,0.1,0.4,6.5699999999999985,12.67,70.0,328.49999999999994,886.9
AMIR COFFEY,2023,26.8,70,Lac,G-F,20.9,6.6,2.1,1.1,0.6,0.2,0.5,12.67,15.49,72.0,886.9,1115.28
ANDRE DRUMMOND,2020,27.770000000000003,46,Cle,C,27.028260869565223,14.943478260869565,11.993478260869566,2.0521739130434784,1.3717391304347826,1.0641304347826086,2.6967391304347825,37.02478260869565,26.298767123287675,73.0,1703.14,1919.8100000000002
ANDRE DRUMMOND,2021,28.670000000000005,73,Phi,C,19.682191780821917,7.973972602739726,9.293150684931508,1.8027397260273972,1.067945205479452,0.9463013698630138,1.5738356164383562,26.298767123287675,17.469999999999995,67.0,1919.8100000000002,1170.4899999999998
ANDRE DRUMMOND,2022,29.7,67,Chi,C,12.7,6.0,6.6,0.5,0.7,0.4,1.1,17.469999999999995,23.45,79.0,1170.4899999999998,1852.55
ANDRE DRUMMOND,2023,30.699999999999996,79,Chi,C,17.1,8.4,9.0,0.5,0.9000000000000001,0.6,1.0,23.45,21.110000000000003,40.0,1852.55,844.4000000000001
ANDRE IGUODALA,2020,37.3,63,Mia,G-F,21.3,4.4,3.5,2.3,0.92,0.52,1.06,15.31,17.23,31.0,964.5300000000001,534.13
ANDRE IGUODALA,2021,38.2,31,Gol,G-F,19.4,4.0,3.2,3.7,0.87,0.71,0.9,17.23,9.22,8.0,534.13,73.76
ANDRE JACKSON JR,2023,22.4,57,Mil,G,10.0,2.2,2.0,0.9,0.3,0.1,0.5,6.6499999999999995,9.64,67.0,379.04999999999995,645.88
ANDREW NEMBHARD,2022,23.2,75,Ind,G-F,27.6,9.5,2.7,4.5,0.9,0.2,1.7,19.590000000000003,19.369999999999997,68.0,1469.2500000000002,1317.1599999999999
