NAME,POS,FP_total_pred,MC_mean,MC_std,MC_p10,MC_p50,MC_p90
MICHAEL PORTER JR,F,2216.3244670149147,2216.5659145521254,285.2989915226298,1854.8809305705188,2211.323093825874,2580.748894971181
JALEN DUREN,C,2211.542077225839,2208.1407773270553,292.8329652960102,1832.237784231,2208.291954963219,2584.301803817214
ZACH LAVINE,G,2199.1103721186637,2200.953935897466,242.06379511013154,1891.1611378039581,2197.356982921998,2514.147624500146
JARRETT ALLEN,C,2183.89008734588,2184.5279769248364,199.18194118427806,1929.924373444885,2180.9142449853043,2441.9911317010924
COBY WHITE,G,2180.2758310247004,2185.410218159379,456.51328686341185,1605.3825964636392,2181.263536413904,2771.43982504464
KYRIE IRVING,G,2136.9745007658694,2137.1775783792477,187.0618829120824,1897.6874078451954,2136.3691627833105,2380.924693353898
TREY MURPHY III,F,2136.6268870545323,2145.816408526413,684.8436814299492,1283.379212527259,2142.720800612504,3018.2240893119506
JALEN JOHNSON,F,2125.881986879115,2137.509930537858,995.7417865714423,851.1934761892757,2110.9598278805447,3439.3210892813972
ONYEKA OKONGWU,F-C,2117.4782483815,2116.6253805955002,505.50718834696244,1474.7610626785936,2112.8369524246336,2765.6434094117785
CHRISTIAN BRAUN,G,2089.4997023905516,2090.0683689102157,674.3959073004921,1221.3326821279452,2083.3577090957583,2959.9147641159775
DENI AVDIJA,F,2083.787246703827,2084.0504629038314,482.5326369816183,1466.296959511267,2076.5976577773185,2705.6928797648184
DERRICK WHITE,G,2077.9878272053593,2077.4130896154647,261.44938660621114,1748.0864537445652,2074.7468358856386,2414.5478988975206
OG ANUNOBY,F-G,2077.127928188437,2077.155810320101,179.12086927159305,1848.174771607692,2071.455951759359,2307.193926980579
WALKER KESSLER,C,2069.2554805765308,2070.2516752533147,339.1038081618191,1639.4497663751292,2064.063396234301,2506.4500386571576
JA MORANT,G,2037.4879308734344,2041.308406980039,307.69079121235137,1652.459007473193,2031.2163343214188,2442.131214811972
ZION WILLIAMSON,F,2019.9619466307408,2019.4276998633795,215.28329303555978,1743.7432274380476,2014.7855800606198,2300.6271035821096
ANFERNEE SIMONS,G,2010.6545759043065,2007.3922224360936,576.5282118653228,1278.1210976928705,2004.906470297371,2747.192466777207
MIKAL BRIDGES,G-F,2010.0862916395583,2006.5925339972623,272.33363753997617,1655.9317924961363,2002.3414894272905,2361.3661562485895
